time,open,high,low,close,tick_volume,spread,real_volume
2025-09-05 15:12:00,1.16983,1.16996,1.16951,1.16957,112,0,0
2025-09-05 15:13:00,1.16957,1.16981,1.1695,1.16977,99,0,0
2025-09-05 15:14:00,1.16981,1.16997,1.16977,1.16994,93,0,0
2025-09-05 15:15:00,1.16995,1.17001,1.16987,1.16992,92,0,0
2025-09-05 15:16:00,1.16992,1.17,1.16977,1.16993,78,0,0
2025-09-05 15:17:00,1.16992,1.17015,1.16987,1.17013,86,0,0
2025-09-05 15:18:00,1.17017,1.1703000000000001,1.17005,1.17008,98,0,0
2025-09-05 15:19:00,1.17008,1.17008,1.16992,1.17002,69,0,0
2025-09-05 15:20:00,1.17002,1.17016,1.16996,1.17007,68,0,0
2025-09-05 15:21:00,1.17003,1.17017,1.16994,1.17012,99,0,0
2025-09-05 15:22:00,1.17012,1.17028,1.17011,1.17019,84,0,0
2025-09-05 15:23:00,1.17019,1.17024,1.1700599999999999,1.1702,88,0,0
2025-09-05 15:24:00,1.1702,1.17022,1.16972,1.16973,95,0,0
2025-09-05 15:25:00,1.16972,1.1699,1.16958,1.16961,110,0,0
2025-09-05 15:26:00,1.16961,1.16974,1.16948,1.16963,87,0,0
2025-09-05 15:27:00,1.16964,1.16968,1.16953,1.16964,103,0,0
2025-09-05 15:28:00,1.16965,1.16993,1.1696,1.16989,75,0,0
2025-09-05 15:29:00,1.16992,1.17004,1.16978,1.16978,117,0,0
2025-09-05 15:30:00,1.1698,1.17497,1.1698,1.17444,399,0,0
2025-09-05 15:31:00,1.17451,1.17452,1.17294,1.17322,365,0,0
2025-09-05 15:32:00,1.17321,1.17461,1.17303,1.17422,308,0,0
2025-09-05 15:33:00,1.17418,1.17435,1.17394,1.17411,305,0,0
2025-09-05 15:34:00,1.17411,1.17434,1.17309,1.17341,287,0,0
2025-09-05 15:35:00,1.17341,1.17352,1.1731,1.17318,272,0,0
2025-09-05 15:36:00,1.17316,1.17354,1.17273,1.17354,284,0,0
2025-09-05 15:37:00,1.17354,1.17389,1.17327,1.1735,280,0,0
2025-09-05 15:38:00,1.17351,1.17354,1.17254,1.17254,232,0,0
